2025-06-21 07:08:55 |    DEBUG | enrichment | [CACHE_MISS] discogs: Cache miss for The Automatic - Monster | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:08:55 |    DEBUG | enrichment | [API_REQUEST] discogs: Requesting The Automatic - Monster | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:08:55 |     INFO | enrichment | [API_RESPONSE] discogs: Response from discogs: SUCCESS | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:08:55 |  WARNING | enrichment | [ERROR] aggregator: Pocos datos obtenidos, activando fallback | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:08:55 |    DEBUG | enrichment | [CACHE_MISS] lastfm: Cache miss for The Automatic - Monster | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:08:55 |    DEBUG | enrichment | [API_REQUEST] lastfm: Requesting The Automatic - Monster | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:08:55 |     INFO | enrichment | [API_RESPONSE] lastfm: Response from lastfm: SUCCESS | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:08:55 |     INFO | enrichment | [API_REQUEST] curator: Curación completada: 1 -> 1 géneros | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:08:55 |     INFO | enrichment | [AGGREGATION] aggregator: Aggregation completed: 1 genres found | Context: {"task_type": "aggregation", "track_artist": "The Automatic", "track_title": "Monster"}
2025-06-21 07:09:05 |     INFO | enrichment | [AGGREGATION] aggregator: Starting aggregation for Everything But The Girl - Missing (Clean) (Extended) | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-21 07:09:05 |    DEBUG | enrichment | [CACHE_MISS] musicbrainz: Cache miss for Everything But The Girl - Missing (Clean) (Extended) | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-21 07:09:05 |    DEBUG | enrichment | [API_REQUEST] musicbrainz: Requesting Everything But The Girl - Missing (Clean) (Extended) | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-21 07:09:08 |     INFO | enrichment | [API_RESPONSE] musicbrainz: Response from musicbrainz: SUCCESS | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-21 07:09:08 |    DEBUG | enrichment | [CACHE_MISS] spotify: Cache miss for Everything But The Girl - Missing (Clean) (Extended) | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-21 07:09:08 |    DEBUG | enrichment | [API_REQUEST] spotify: Requesting Everything But The Girl - Missing (Clean) (Extended) | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
2025-06-21 07:09:08 |     INFO | enrichment | [API_RESPONSE] spotify: Response from spotify: SUCCESS | Context: {"task_type": "aggregation", "track_artist": "Everything But The Girl", "track_title": "Missing (Clean) (Extended)"}
